scenario,entry,resources_per_tick,population_peak,survival_median,kill_rate,first_kill_tick,avg_rank
ffa-dense,arena-evolve,0.06533333333333334,7.0,1,0.3333333333333333,995.0,4.333333333333333
ffa-dense,core,0.09466666666666668,10.0,1,0.0,,6.333333333333333
ffa-dense,core-mil,0.10433333333333333,11.666666666666666,1,1.0,822.0,2.3333333333333335
ffa-dense,farmer,0.043666666666666666,5.666666666666667,1,0.0,,5.0
ffa-dense,farmer-eco,0.057,6.666666666666667,1,0.0,,6.333333333333333
ffa-dense,tactic,0.03766666666666667,4.333333333333333,1,0.0,,7.666666666666667
ffa-dense,ts-aggressive,0.106,12.333333333333334,1,3.3333333333333335,526.3333333333334,1.6666666666666667
ffa-dense,ts-safety,0.035,6.333333333333333,1,0.0,,5.666666666666667
ffa-dense,waaiging,0.17366666666666666,14.333333333333334,1,0.0,,5.0
ffa-dense,waaiging-agg,0.08733333333333333,10.333333333333334,1,0.0,,7.333333333333333
ffa-std,arena-evolve,0.10000000000000002,11.666666666666666,1,0.3333333333333333,928.0,6.666666666666667
ffa-std,core,0.11966666666666666,12.0,1,1.0,662.5,3.6666666666666665
ffa-std,core-mil,0.10966666666666668,12.333333333333334,1,0.6666666666666666,775.0,3.0
ffa-std,farmer,0.07733333333333332,10.0,1,0.0,,6.666666666666667
ffa-std,farmer-eco,0.09833333333333334,12.0,1,0.0,,5.666666666666667
ffa-std,tactic,0.06933333333333333,8.333333333333334,1,0.0,,7.666666666666667
ffa-std,ts-aggressive,0.06866666666666667,10.333333333333334,1,1.3333333333333333,609.0,4.666666666666667
ffa-std,ts-safety,0.03966666666666666,7.0,1,0.3333333333333333,938.0,5.0
ffa-std,waaiging,0.30233333333333334,18.0,1,0.0,,5.333333333333333
ffa-std,waaiging-agg,0.20733333333333334,15.666666666666666,1,0.0,,5.333333333333333
ffa-open,arena-evolve,0.06766666666666667,9.0,1,0.0,,8.666666666666666
ffa-open,core,0.077,10.0,1,0.0,,7.666666666666667
ffa-open,core-mil,0.046000000000000006,6.666666666666667,1,0.0,,7.0
ffa-open,farmer,0.06533333333333334,7.333333333333333,1,0.0,,4.333333333333333
ffa-open,farmer-eco,0.06633333333333333,9.333333333333334,1,0.0,,2.0
ffa-open,tactic,0.04466666666666667,6.666666666666667,1,0.0,,7.666666666666667
ffa-open,ts-aggressive,0.06566666666666666,9.666666666666666,1,0.0,,6.333333333333333
ffa-open,ts-safety,0.052333333333333336,7.666666666666667,1,0.6666666666666666,651.0,3.3333333333333335
ffa-open,waaiging,0.127,13.0,1,0.0,,3.6666666666666665
ffa-open,waaiging-agg,0.15533333333333332,13.666666666666666,1,0.0,,4.0
ffa-scarce,arena-evolve,0.08533333333333333,9.333333333333334,1,0.3333333333333333,673.0,5.333333333333333
ffa-scarce,core,0.11066666666666665,11.0,1,0.6666666666666666,730.0,4.666666666666667
ffa-scarce,core-mil,0.10866666666666665,10.666666666666666,1,0.3333333333333333,803.0,6.333333333333333
ffa-scarce,farmer,0.06866666666666667,9.666666666666666,1,0.0,,6.0
ffa-scarce,farmer-eco,0.09566666666666668,10.666666666666666,1,0.0,,5.0
ffa-scarce,tactic,0.05466666666666666,7.666666666666667,1,0.0,,7.666666666666667
ffa-scarce,ts-aggressive,0.062,10.0,1,1.0,776.5,3.3333333333333335
ffa-scarce,ts-safety,0.04900000000000001,7.666666666666667,1,0.6666666666666666,505.0,4.333333333333333
ffa-scarce,waaiging,0.227,17.0,1,0.3333333333333333,957.0,5.333333333333333
ffa-scarce,waaiging-agg,0.266,17.666666666666668,1,0.0,,4.0
ffa-random,arena-evolve,0.08900000000000001,12.333333333333334,1,0.6666666666666666,797.0,4.333333333333333
ffa-random,core,0.08633333333333333,9.0,1,0.6666666666666666,813.5,4.0
ffa-random,core-mil,0.05333333333333334,7.0,1,0.0,,6.666666666666667
ffa-random,farmer,0.078,9.666666666666666,1,0.0,,4.666666666666667
ffa-random,farmer-eco,0.057333333333333326,7.333333333333333,1,0.0,,4.0
ffa-random,tactic,0.06833333333333333,9.333333333333334,1,0.0,,8.0
ffa-random,ts-aggressive,0.08666666666666667,9.666666666666666,1,0.0,,7.666666666666667
ffa-random,ts-safety,0.029666666666666664,5.666666666666667,1,0.0,,6.0
ffa-random,waaiging,0.17333333333333334,15.666666666666666,1,0.0,,5.333333333333333
ffa-random,waaiging-agg,0.26866666666666666,17.333333333333332,1,0.3333333333333333,996.0,3.3333333333333335
